id,name
Q11762714,Lisie Katy Airport
Q11762717,Inowroclaw Airport
Q11762718,Latkowo
Q11762719,Iwonicz Airport
Q11762721,Jelenia Gora Airport
Q11762724,Pobiednik Wielki Airport
Q11762725,Osla
Q11762726,Kętrzyn Wilamowo Airport
Q11762727,Leszno Airport
Q11762730,Radawiec Airport
Q11762736,Dajtki Airport
Q11762739,Michalkow Airport
Q11762741,Kobylnica Airport
Q11762743,Pruszcz Gdanski Mil Airport
Q11762745,Plock Airport
Q11762746,Radom-Piastów Airport
Q11762755,Krepa Airport
Q11762756,Lotnisko Tomaszów Mazowiecki
Q11762757,Kruszyn Airport
Q11762759,Zamosc Airport
Q11762760,Przylep Airport
Q11762763,Swidnik Airport
Q11762765,Zar Airport
Q11763516,Newton City/County Airport
Q11763993,La Grande/Union County Airport
Q11764538,Lądowisko Częstochowa-Rudniki
Q11764555,Gryźliny Airport
Q11764657,Szymanow Airport
Q11764677,Żagań
Q117708,Billy Bishop Toronto City Airport
Q11773117,Ayr/Sargeant Private Airfield
Q117807,Sary-Arka Airport
Q11824175,Abbs Airport
Q11824177,Abong-M'bang Airport
Q11824181,Dhala
Q11824182,Ada airport
Q11824183,Adi Kejh aerodrome
Q11824184,Adi Ugri
Q11824190,Aishalton Airport
Q11824193,Akim Oda airport
Q11824195,Albuq Airport
Q11824197,Buraimi Airport
Q11824205,Alghena
Q11824209,Alto Palena Airport
Q11824211,Annai Airport
Q11824213,Antsirabe Airport
Q11824214,Apolo Airport
Q11824217,Arly Airport
Q11824218,As Sallum
Q11824223,Ascencion De Guarayos Airport
Q11824224,Safi Airport
Q11824226,El Tor Airport
Q11824227,Atauro aerodrome
Q11824229,Attopeu
Q11824230,Avu Avu Airport
Q11824234,Hpa-An Airport
Q11824237,Baglung Airport
Q11824238,Baillif Airport
Q11824241,Cufar Airport
Q11824242,Baramita Airport
Q11824244,Barentu
Q11824245,Barat
Q11824247,Barrillas Airport
Q11824250,Bassari
Q11824251,Al Bateen Executive Airport
Q11824255,Bauchi Airport
Q11824257,Beilul
Q11824258,Placeres Airport
Q11824259,Belle Yella aerodrome
Q11824261,Bentota River Airport
Q11824262,Benesov Airport
Q11824267,Bihać Golubić
Q11824268,Big Bend-Matata airstrip
Q11824271,Birni N'Konni Airport
Q11824272,Birże airport
Q11824275,Blönduós Airport
Q11824277,Bolama Airport
Q11824280,Booue Airport
Q11824281,Bovec Airport
Q11824284,Bowen Field
Q11824285,Brus Laguna Airport
Q11824286,Bua / Dama
Q11824292,Bursa Airport
Q11824300,Cap. Av. Juan Cochamanidis San Airport
Q11824302,Carmelita Airport
Q11824303,San Blas Airport
Q11824305,Casas Nuevas Airport
Q11824307,Cauquira Airport
Q11824308,Catió Airport
Q11824309,Tskhinvali aerodrome
Q11824312,Ceiba Doblada Airport
Q11824319,Chelinda Airport
Q11824320,Chinde Airport
Q11824322,Chipinge Airport
Q11824324,Chiquimula Airport
Q11824326,Chitré Alonso Valderrama Airport
Q11824328,Chókwè airport
Q11824332,Contadora Airport
Q11824334,Corazon de Jesus Airport
Q11824341,Daru airstrip
Q11824342,Dahlak
Q11824344,Das Island Airport
Q11824352,Dr Juan Plate
Q11824354,Dwangwa Airport
Q11824356,Jebel Dhana Airport
Q11824358,Dżirgatal
Q11824362,Eyl Airport
Q11824364,El Naranjo Airport
Q11824365,El Jocotillo Airport
Q11824366,El Palmer Airport
Q11824367,Aramuaca Airport
Q11824368,El Real Airport
Q11824369,El Porvenir Airport
Q11824373,Esperadinha
Q11824380,Nizwa
Q11824382,Foya Airport
Q11824383,Franco Bianco Airport
Q11824386,Fuerte Olimpo Airport
Q11824388,Gamboa Airport
Q11824389,Gangaw airport
Q11824392,Garachiné Airport
Q11824401,Gobabis Airport
Q11824402,Gorkha Airport
Q11824405,Grand Cess aerodrome
Q11824408,Gwa Airport
Q11824411,Haima Airport
Q11824413,Halali aerodrome
Q11824416,Harrismith Airport
Q11824420,Hienghène aerodrome
Q11824422,Leribe Airport
Q11824423,Holesov
Q11824426,Hradec Králové Airport
Q11824429,Hughenden Airport
Q11824432,Hwange Town Airport
Q11824434,Imbaimadai Airport
Q11824437,Irbid
Q11824446,Jaqué Airport
Q11824447,Jericho aerodrome
Q11824450,Juigalpa Airport
Q11824453,Jutigalpa airport
Q11824454,Jõhvi Airfield
Q11824457,Milliken Airport
Q11824458,Kamarang Airport
Q11824459,Kalabo Airport
Q11824462,Kampot Airport
Q11824463,Koh Kong Airport
Q11824466,Kaoma Airport
Q11824469,Karanambo Airport
Q11824470,Karasabai Airport
Q11824471,Karasburg Airport
Q11824473,Kasama Airport
Q11824476,Kato Airport
Q11824481,Khong
Q11824482,Kete-Krachi
Q11824490,Kiofi Gihofi aerodrome
Q11824496,Qishn Airport
Q11824498,Kladno Airport
Q11824499,Danica Airport
Q11824501,Kotor
Q11824502,Kourou Airport
Q11824504,Krakor Airport
Q11824507,Kubuta Airfield
